atyr-bngmx-1|10.30.184.1
atyr-bngmx-1-2|10.30.190.1
kara-bngmx-1|10.30.92.1
kara-bngmx-1-2|10.30.96.1
ustk-bngmx-1|10.30.140.1
ustk-bngmx-1-2|10.30.144.1
shim-bngmx-1|10.30.168.1
shim-bngmx-1-2|10.30.16.1
koks-bngmx-1|10.30.244.1
koks-bngmx-1-2|10.30.80.1
asta-bngmx-2|10.30.48.1
asta-bngmx-3|10.30.68.1
kyzy-bngmx-1|10.30.176.1
kyzy-bngmx-1-2|10.30.180.1
akta-bngmx-1|10.30.196.1
akta-bngmx-1-2|10.30.206.1
akto-bngmx-1|10.30.88.1
akto-bngmx-1-2|10.30.90.1
kost-bngmx-1|10.30.232.1
kost-bngmx-1-2|10.30.112.1
pavl-bngmx-1|10.30.100.1
pavl-bngmx-1-2|10.30.116.1
petr-bngmx-1|10.30.236.1
petr-bngmx-1-2|10.30.240.1
tara-bngmx-1|10.30.160.1
tara-bngmx-1-2|10.30.164.1
ural-bngmx-1|10.30.242.1
ural-bngmx-1-2|10.30.112.1
seme-bngmx-1|10.30.132.1
seme-bngmx-1-2|10.30.136.1
tald-bngmx-1|10.30.152.1
tald-bngmx-1-2|10.30.154.1
alma-bngmx-1|10.30.24.1
alma-bngmx-3|10.30.36.1
alma-bngmx-4|10.30.12.1
alma-bngmx-6|10.30.0.1
